,S,U1,U2,U3,U4,W1,W2,W3,W4,R
4391,0.07946632493196182,5.092962945657818e-07,5.243485327861138e-147,0.016082623713804207,0.029744804783592017,1.4703216774311865,5.960444773016203e-36,0.07543546382964678,0.33538388671870095,4.993564709294812
4392,0.07650201651082718,4.967550852424226e-07,5.520994520565495e-147,0.020375530614113138,0.035436556301345484,1.4193435603859257,5.6168264033910705e-36,0.0895731433414386,0.3613962457488502,4.9973724503424135
4393,0.07300199749786002,4.844359296679466e-07,5.646664283653887e-147,0.024577365104343333,0.04026317111411836,1.362076201287343,5.2430492674841877e-36,0.10675994312304549,0.3911809756915633,5.002139861745796
4394,0.06922974983153214,4.7097595490031517e-07,5.601522479988723e-147,0.028161115675772484,0.04355588254446138,1.3011415845984198,4.8591348748900125e-36,0.1265925744034644,0.42360790806768367,5.007710713902711
4395,0.06548648919700333,4.5449455535377024e-07,5.383328592028417e-147,0.030619914757893843,0.04484533173263213,1.2397524495051058,4.486451441264234e-36,0.14831328869514473,0.4571642768080139,5.01381779480965
4396,0.06205274475898317,4.3296091197960494e-07,5.007221637077811e-147,0.03159608937217442,0.04398053706524224,1.1811204861794136,4.1435558562536953e-36,0.170918320665217,0.49021324694429314,5.020118142053764
4397,0.05914297727932352,4.047193585274971e-07,4.5034855240315104e-147,0.030969601158063492,0.04114752074233408,1.1279046122726406,3.8433221176376116e-36,0.1933199847981382,0.5212683225624297,5.026246576467711
4398,0.056885484291741756,3.690321666736436e-07,3.913134494028412e-147,0.028874979448359504,0.036793658643122756,1.0818685361087992,3.592050100432855e-36,0.21450986731806565,0.5491956079892059,5.031871497168538
4399,0.05532589400145791,3.2645945295088485e-07,3.282207564992505e-147,0.02564989154223436,0.031502434587384984,1.043798051056388,3.39023802759829e-36,0.23368234145089478,0.5733027673751317,5.036738293527055
4400,0.05444447079762404,2.7891832350496294e-07,2.6556845221921064e-147,0.021743259786226352,0.025868062093350606,1.013623365382639,3.2342021273994126e-36,0.25030205863293054,0.5933260922027428,5.040692412186163
4401,0.05417737343640835,2.293585413636677e-07,2.071972535145044e-147,0.017616631752018,0.02040096564795949,0.9906499776466658,3.117806366498511e-36,0.26411864513769234,0.6093546993462274,5.043681477674488
4402,0.05443601053480399,1.811342569382475e-07,1.5588887318167728e-147,0.013664435087333636,0.015473919666377052,0.9738135646771151,3.033899675994359e-36,0.2751404665639366,0.621730520592382,5.045740901743794
4403,0.055122466954813126,1.3727694461148794e-07,1.1318170786121168e-147,0.010166175852052923,0.011305618102285522,0.9619062067668033,2.9753483000932e-36,0.2835807435423315,0.6309490462063612,5.046969605298408
4404,0.0561409231112042,9.991375429014728e-08,7.942125977969137e-148,0.007272455819266951,0.007973152407325986,0.9537491464146686,2.9356959006632696e-36,0.2897888446003308,0.6375728140685037,5.047502563664946
4405,0.057405436264146466,7.000208095837494e-08,5.400216845077767e-148,0.005018719119187578,0.005443222532830749,0.9483050468980407,2.9095213261429865e-36,0.294179255769419,0.6421625555349231,5.047485693879372
4406,0.05884438658450957,4.7407681382201374e-08,3.5713869856308124e-148,0.0033561065595263265,0.003611608938816309,0.9447334873894502,2.8925608805331337e-36,0.29716957034536906,0.6452280970258474,5.0470566957488
4407,0.060401949049879944,3.122206425466331e-08,2.3090914390569447e-148,0.0021877411286740597,0.002341441090348147,0.9424005524603104,2.8816578512588784e-36,0.29913559083623836,0.6471993900867683,5.046333304125717
